y,elastic_net_logistic,xgboost,ebm,Animal
Healthy,"[0.6502048588756596, 0.23072112544554058, 0.11907401567879967]","[0.2969219982624054, 0.4063093662261963, 0.2967686653137207]","[0.6712417190223815, 0.2721908168213672, 0.05656746415625132]",S
Healthy,"[0.6143377304980873, 0.20476872088148773, 0.18089354862042498]","[0.36619067192077637, 0.22837616503238678, 0.4054332375526428]","[0.771584688864554, 0.15541899372390855, 0.0729963174115375]",S
Healthy,"[0.8426407881537856, 0.14306663352674942, 0.014292578319465064]","[0.7189285755157471, 0.13533705472946167, 0.14573433995246887]","[0.9760777272274044, 0.018947760937220042, 0.004974511835375358]",S
Healthy,"[0.6925290765510673, 0.2925085468293454, 0.014962376619587367]","[0.5237513780593872, 0.256667822599411, 0.21958081424236298]","[0.9237837784792211, 0.06056316839598838, 0.015653053124790588]",S
Healthy,"[0.8420167642304754, 0.08950128168922725, 0.0684819540802972]","[0.4132179915904999, 0.2056128978729248, 0.3811691105365753]","[0.8934071150610895, 0.05753472530561453, 0.04905815963329602]",S
Healthy,"[0.6248167683231234, 0.3182654858999303, 0.05691774577694629]","[0.8084368109703064, 0.1370747834444046, 0.0544884130358696]","[0.9324158034117603, 0.05192362964484483, 0.015660566943394717]",T
Healthy,"[0.470970534353574, 0.34159902046864904, 0.187430445177777]","[0.7343521118164062, 0.18048347532749176, 0.08516440540552139]","[0.9016299621107027, 0.053221017031586146, 0.0451490208577111]",T
Healthy,"[0.6443406774081759, 0.28349457922464677, 0.07216474336717739]","[0.8974563479423523, 0.07069749385118484, 0.031846173107624054]","[0.9613300912235122, 0.03707631417839233, 0.0015935945980954348]",T
Healthy,"[0.7073894284102664, 0.22032322511730562, 0.07228734647242793]","[0.914858341217041, 0.05396852269768715, 0.031173113733530045]","[0.980164772158347, 0.01858580437528454, 0.0012494234663685078]",T
Healthy,"[0.409298796355783, 0.4302832374845416, 0.16041796615967546]","[0.8370649814605713, 0.04972625896334648, 0.11320874840021133]","[0.8768839193054797, 0.1078022831460026, 0.015313797548517714]",T
CKD,"[0.352923106041628, 0.6040958238981738, 0.042981070060198114]","[0.523493766784668, 0.3692881464958191, 0.10721806436777115]","[0.5946908820112774, 0.3340033277589731, 0.07130579022974949]",TG
Healthy,"[0.4183898710131275, 0.41488371090672405, 0.16672641808014838]","[0.62373286485672, 0.26048216223716736, 0.11578498035669327]","[0.5369181277080883, 0.3639640984363908, 0.09911777385552098]",U
